time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
388979739547.0,,,nan,,,
388979739803,10,0.0,4.0,0.0,70,0
388979740059,10,0.0,,0.0,70,0
388979740315,10,0.0,,0.0,70,0
388979740571,10,0.0,,1.12109375,70,0
388979740827,10,0.0,,0.33984375,70,0
388979741083,10,0.0,,0.0390625,70,0
388979741339,13,7582.8799999999992,,0.05078125,70,0
388979741595,21,7582.8799999999992,,0.015625,70,0
388979741851,28,16998.399999999998,,0.015625,126,0
388979742107,29,16998.399999999998,,0.3515625,123,0
388979742363,28,17038.239999999998,,0.44921875,123,0
388979742619,28,17038.239999999998,,0.08984375,121,31
388979742875,29,17967.84,,0.390625,119,49
388979743131,30,17967.84,1.0,0.20703125,117,53
388979743387,31,19773.919999999998,,0.12890625,117,41
388979743643,30,19773.919999999998,,0.34375,107,0
388979743899,29,19773.919999999998,,0.12890625,107,0
388979744155,28,17649.119999999999,2.0,0.36328125,107,30
388979744411,28,17649.119999999999,,0.59765625,109,36
388979744667,27,16546.880000000001,,0.44921875,109,41
388979744923,28,18937.279999999999,,0.390625,109,44
388979745179,29,18937.279999999999,,0.41796875,105,45
388979745435,30,18937.279999999999,,0.38671875,105,44
388979745691,30,20384.799999999999,,0.53125,105,48
388979745947,30,20384.799999999999,,0.2265625,105,57
388979746203,30,20384.799999999999,,0.13671875,105,54
388979746459,29,18472.48,,0.17578125,104,0
388979746715,28,18472.48,,0.1640625,104,0
388979746971,26,18472.48,,0.2265625,104,0
388979747227,26,18472.48,,0.22265625,104,0
388979747483,26,15803.199999999999,,0.2421875,103,31
388979747739,24,15803.199999999999,,0.21875,103,0
388979747995,23,15803.199999999999,,0.41796875,90,0
388979748251,23,13572.16,,0.10546875,90,0
388979748507,23,13572.16,,0.125,80,0
388979748763,23,15072.799999999999,,0.12109375,86,0
388979749019,23,15949.279999999999,,0.05859375,73,0
388979749275,24,15949.279999999999,,0.15234375,73,0
388979749531,24,15896.16,,0.15234375,69,0
388979749787,24,15896.16,,0.08203125,65,0
388979750043,24,14249.439999999999,,0.046875,64,0
388979750299,24,14249.439999999999,,0.125,64,0
388979750555,24,14249.439999999999,,0.05859375,66,0
388979750811,24,17383.52,,0.17578125,69,0
388979751067,25,17383.52,,0.0859375,73,0
388979751323,25,17383.52,,0.05859375,73,0
388979751579,25,18751.360000000001,,0.078125,78,0
388979751835,25,18751.360000000001,,0.07421875,80,0
388979752091,25,18751.360000000001,,0.0234375,77,0
388979752347,25,18751.360000000001,,0.015625,80,0
388979752603,25,18751.360000000001,,0.0,80,0
388979752859,25,18751.360000000001,,0.015625,80,0
388979753115,25,18751.360000000001,,0.015625,80,0
388979753371,25,18751.360000000001,,0.015625,89,0
388979753627,24,16068.799999999999,,0.015625,95,0
388979753883,22,16068.799999999999,,0.0,100,0
388979754139,20,16799.200000000001,,0.015625,104,0
388979754395,19,16799.200000000001,,0.015625,102,0
388979754651,19,16799.200000000001,,0.015625,102,0
388979754907,19,16799.200000000001,,0.04296875,102,0
388979755163,19,17370.239999999998,,0.23046875,102,0
388979755419,18,17370.239999999998,,0.15625,102,0
388979755675,18,17370.239999999998,,0.16015625,102,0
